사고번호,사고일시,요일,시군구,사고내용,사망자수,중상자수,경상자수,부상신고자수,사고유형,법규위반,노면상태,기상상태,도로형태,가해운전자 차종,가해운전자 성별,가해운전자 연령,가해운전자 상해정도,피해운전자 차종,피해운전자 성별,피해운전자 연령,피해운전자 상해정도
2020052600100295,2020년 5월 26일 14시,화요일,서울특별시 송파구 방이동,경상사고,0,0,1,0,차대차 - 측면충돌,안전운전불이행,포장 - 건조,맑음,교차로 - 교차로안,승용,남,48세,상해없음,자전거,남,12세,경상
2020052700100195,2020년 5월 27일 11시,수요일,서울특별시 영등포구 당산동,중상사고,0,1,0,0,차대차 - 기타,안전운전불이행,포장 - 건조,맑음,단일로 - 기타,자전거,남,63세,중상,자전거,남,57세,상해없음
2020052700100310,2020년 5월 27일 14시,수요일,서울특별시 영등포구 양화동,중상사고,0,1,1,0,차대차 - 기타,안전운전불이행,포장 - 건조,맑음,단일로 - 기타,자전거,기타불명,미분류,기타불명,자전거,남,76세,경상
2020052700100349,2020년 5월 27일 15시,수요일,서울특별시 강서구 공항동,중상사고,0,1,0,0,차대차 - 기타,안전운전불이행,포장 - 건조,맑음,교차로 - 교차로안,승용,남,65세,상해없음,자전거,남,53세,중상
2020052700100350,2020년 5월 27일 15시,수요일,서울특별시 구로구 고척동,경상사고,0,0,2,0,차대차 - 측면충돌,안전운전불이행,포장 - 건조,맑음,단일로 - 기타,자전거,여,61세,경상,자전거,여,34세,경상
2020052700100445,2020년 5월 27일 17시,수요일,서울특별시 양천구 목동,경상사고,0,0,1,0,차대차 - 기타,안전운전불이행,포장 - 건조,맑음,단일로 - 기타,기타불명,기타불명,미분류,기타불명,자전거,여,11세,경상
2020052700100446,2020년 5월 27일 17시,수요일,서울특별시 노원구 공릉동,경상사고,0,0,1,0,차대차 - 측면충돌,신호위반,포장 - 건조,맑음,교차로 - 교차로부근,이륜,남,62세,상해없음,자전거,남,10세,경상
2020052700100559,2020년 5월 27일 19시,수요일,서울특별시 동작구 본동,경상사고,0,0,1,0,차대차 - 측면충돌,신호위반,포장 - 건조,맑음,단일로 - 기타,개인형이동수단(PM),남,38세,상해없음,자전거,남,29세,경상
2020052800100134,2020년 5월 28일 09시,목요일,서울특별시 도봉구 방학동,경상사고,0,0,1,0,차대차 - 추돌,안전운전불이행,포장 - 건조,맑음,단일로 - 기타,승용,여,51세,상해없음,자전거,남,82세,경상
2020052800100355,2020년 5월 28일 15시,목요일,서울특별시 마포구 용강동,경상사고,0,0,1,0,차대차 - 측면충돌,안전운전불이행,포장 - 건조,맑음,기타 - 기타,자전거,남,78세,경상,자전거,남,57세,상해없음
